nombre_nivel,segmento_completo,scenario_id,n_predios,tarifa_prom_esc,recaudo_tot_esc,share_recaudo_segmento,cobertura_tarifa_esc,recaudo_millones,share_recaudo_pct
Agresivo,Económico - Altos,1410,2589,14.07,12076095.54652599,0.8058166475297261,100,12.08,80.6
Agresivo,Vulnerables,1410,1818,8.94,1821248.3273133903,0.1215287023674626,100,1.82,12.2
Agresivo,Institucional,1410,62,14.68,989698.4895398509,0.066040842077939907,100,0.99,6.6
Agresivo,Especulativo,1410,101,32.79,99045.2030157519,0.00660911245199732,100,0.1,0.7
Agresivo,Servicios - Altos,1410,1,15,70.36859668331059,4.695572873885485e-6,100,0,0
Agresivo,Económico - Bajos,1410,747,14.09,3.08395e-302,0,100,0,0
Agresivo,Servicios - Bajos,1410,1,16,5.62e-305,0,100,0,0
Conservador,Económico - Altos,215,2589,12.14,10393920.15123197,0.8153665957217024,100,10.39,81.5
Conservador,Vulnerables,215,1818,6.94,1434918.529922977,0.1125643279780836,100,1.43,11.3
Conservador,Institucional,215,62,11.35,822566.8244949046,0.06452748353685644,100,0.82,6.5
Conservador,Especulativo,215,101,31.86,96075.786479088,0.00753680861628074,100,0.1,0.8
Conservador,Servicios - Altos,215,1,13,60.98611712553584,4.78414707669649e-6,100,0,0
Conservador,Económico - Bajos,215,747,11.19,2.4599430000000002e-301,0,100,0,0
Conservador,Servicios - Bajos,215,1,16,5.62e-305,0,100,0,0
Moderado,Económico - Altos,292,2589,13.11,11235007.84887898,0.8108912040900004,100,11.24,81.1
Moderado,Vulnerables,292,1818,7.41,1572883.0987988468,0.11352346941217936,100,1.57,11.4
Moderado,Institucional,292,62,13.35,951103.5083376596,0.0686462777297572,100,0.95,6.9
Moderado,Especulativo,292,101,31.86,96075.786479088,0.0069343084784489,100,0.1,0.7
Moderado,Servicios - Altos,292,1,14,65.6773569044232,4.7402896142160146e-6,100,0,0
Moderado,Económico - Bajos,292,747,12.19,2.678157e-301,0,100,0,0
Moderado,Servicios - Bajos,292,1,16,5.62e-305,0,100,0,0
